term_str,x,y,n,dfidf,pos_group
assured,-6.9071774,9.295439,12,24.59431618637297,VB
at,12.53637,-23.037012,334,4.207839759945508,IN
attack,-1.7729741,-4.910254,11,20.818033540269386,NN
attempt,-5.552493,14.400088,21,28.117036768742114,NN
attention,0.35075662,-5.5504956,34,29.00582481748225,NN
authorities,7.142928,-6.826758,16,22.250877708197276,NN
authority,7.4129043,-18.831963,56,28.103919879972757,NN
avoid,-3.9509764,7.8385324,14,25.541209043760983,VB
away,-6.3181305,12.024168,28,29.00582481748225,RB
back,-3.172348,6.239128,25,27.636067080538773,RB
bad,0.5822038,3.5909514,11,23.502912408741125,JJ
balance,-0.4030518,-2.9159417,16,27.051959939986375,NN
based,-0.8461249,5.5634875,13,23.502912408741125,VB
basis,2.2554657,-13.214559,25,29.00582481748225,NN
battle,-6.471094,-3.1993563,12,24.59431618637297,NN
be,-11.763967,28.575462,1450,0.0,VB
bear,-7.788131,16.577269,24,28.501755416394552,VB
bearing,8.197365,-14.246745,11,23.502912408741125,VB
became,-7.5428243,-1.319258,14,24.59431618637297,VB
because,-8.867503,27.690145,103,22.82268438028926,IN
become,-10.101702,23.27713,56,25.003510832789107,VB
been,-12.323159,27.777994,475,2.832280724957402,VB
before,-5.0073366,23.2628,123,11.85869684351175,IN
began,-1.1297538,8.073962,10,22.250877708197276,VB
begin,-1.5681701,17.759272,10,19.17838327682102,VB
beginning,5.6804485,-14.728684,28,29.188632372745946,NN
behalf,9.171168,-22.359192,10,19.17838327682102,NN
being,3.8205135,-4.191885,62,27.714749706752166,VB
belief,-2.4568093,7.300143,22,27.636067080538773,NN
believe,-8.947112,28.091045,69,25.642065497271314,VB
believed,-8.527369,26.066202,14,26.35676655364204,VB
belongs,-6.2897897,-0.44511035,13,27.051959939986375,VB
beloved,3.3241599,-15.294288,12,25.541209043760983,JJ
beneficent,8.156401,-13.176551,12,23.502912408741125,NN
benefit,5.04767,6.4232335,18,27.051959939986375,NN
benefits,1.2201622,-8.316486,22,28.501755416394552,NN
best,-0.787875,-12.95601,120,17.376116065169615,JJ
better,-4.7276797,13.346151,73,25.642065497271314,JJ
between,11.935906,-24.615831,93,25.003510832789107,IN
